"run","tick","tipoA","tipoAB","tipoB","tipoO"
1,1.0,0.31999999999999995,0.0,0.08,0.5999999999999998
1,2.0,0.3599999999999999,0.039999999999999994,0.039999999999999994,0.5599999999999999
1,3.0,0.3799999999999999,0.019999999999999997,0.08000000000000004,0.52
1,4.0,0.29999999999999993,0.0,0.08,0.6200000000000002
1,5.0,0.26000000000000006,0.04,0.07999999999999999,0.6199999999999998
1,6.0,0.29999999999999993,0.039999999999999994,0.039999999999999994,0.62
1,7.0,0.36000000000000004,0.0,0.06000000000000001,0.5799999999999998
1,8.0,0.26,0.019999999999999997,0.06000000000000001,0.6599999999999999
1,9.0,0.27999999999999986,0.06000000000000001,0.06,0.5999999999999999
1,10.0,0.3599999999999999,0.020000000000000004,0.039999999999999994,0.5799999999999998
1,11.0,0.3399999999999999,0.0,0.06,0.6000000000000001
1,12.0,0.35999999999999993,0.039999999999999994,0.019999999999999997,0.5799999999999998
1,13.0,0.43999999999999995,0.019999999999999997,0.019999999999999997,0.52
1,14.0,0.56,0.0,0.019999999999999997,0.42
1,15.0,0.5199999999999999,0.0,0.019999999999999997,0.4600000000000001
1,16.0,0.43999999999999984,0.0,0.019999999999999997,0.5400000000000001
1,17.0,0.4199999999999999,0.0,0.020000000000000004,0.5599999999999999
1,18.0,0.35999999999999993,0.0,0.019999999999999997,0.62
1,19.0,0.45999999999999996,0.0,0.019999999999999997,0.5200000000000002
1,20.0,0.39999999999999997,0.0,0.0,0.5999999999999999
1,21.0,0.3600000000000001,0.0,0.0,0.64
1,22.0,0.3600000000000001,0.0,0.0,0.64
1,23.0,0.33999999999999997,0.0,0.0,0.6599999999999999
1,24.0,0.31999999999999995,0.0,0.0,0.6799999999999997
1,25.0,0.4,0.0,0.0,0.6
1,26.0,0.42,0.0,0.0,0.5799999999999998
1,27.0,0.48,0.0,0.0,0.5199999999999999
1,28.0,0.4600000000000001,0.0,0.0,0.5400000000000001
1,29.0,0.43999999999999995,0.0,0.0,0.5599999999999998
1,30.0,0.38,0.0,0.0,0.62
1,31.0,0.44,0.0,0.0,0.5599999999999999
1,32.0,0.37999999999999995,0.0,0.0,0.6199999999999999
1,33.0,0.39999999999999997,0.0,0.0,0.6
1,34.0,0.48000000000000004,0.0,0.0,0.52
1,35.0,0.3999999999999999,0.0,0.0,0.5999999999999999
1,36.0,0.33999999999999997,0.0,0.0,0.6599999999999999
1,37.0,0.33999999999999997,0.0,0.0,0.6599999999999999
1,38.0,0.4,0.0,0.0,0.6000000000000001
1,39.0,0.3599999999999999,0.0,0.0,0.6399999999999999
1,40.0,0.46,0.0,0.0,0.5399999999999999
1,41.0,0.38000000000000006,0.0,0.0,0.6200000000000001
1,42.0,0.4600000000000001,0.0,0.0,0.5399999999999999
1,43.0,0.48,0.0,0.0,0.5199999999999999
1,44.0,0.5,0.0,0.0,0.5
1,45.0,0.54,0.0,0.0,0.4599999999999999
1,46.0,0.5199999999999999,0.0,0.0,0.4799999999999999
1,47.0,0.5599999999999998,0.0,0.0,0.43999999999999995
